reduction_pct,proj_gmv,proj_net_revenue,new_margin_pct,revenue_uplift,ci_lower,ci_upper
0,14270055.81,42531.50281700003,0.2980472072659681,2.9103830456733704e-11,42531.50281700003,42531.50281700003
5,14056004.97285,47530.733596141275,0.33815250982017775,4999.230779141275,46720.33407058091,48349.19002337989
10,13841954.1357,52546.48726728086,0.37961755076010106,10014.984450280863,50883.790267054115,54185.73748952037
15,13627903.29855,57556.712075032876,0.42234458826220805,15025.209258032875,55058.386503334856,60023.41798002645
20,13413852.4614,62547.663942285086,0.46629157523741693,20016.161125285085,59198.9924366376,65878.39522885726
25,13199801.62425,67527.93887541522,0.5115829828181383,24996.436058415216,63423.32401127433,71655.24125932822
30,12985750.7871,72569.59595902663,0.5588402022247109,30038.093142026628,67621.64134524949,77567.81032659108
35,12771699.94995,77461.68855048134,0.6065104007613693,34930.18573348134,71748.00052589359,83277.90333327182
40,12557649.1128,82548.42198899815,0.6573556980888773,40016.919171998146,75966.86777316991,89067.96834813742
45,12343598.27565,87605.48280535932,0.7097240273784439,45073.97998835932,80119.75998504623,95002.92936403498
50,12129547.4385,92657.74819696049,0.7639011155754959,50126.245379960485,84277.14953554385,100765.37727274167
